frame,object_id,class,x,y,width,height,center_x,center_y,area
535,1387,person,1022.86,391.84,112.68,249.76,1022.86,391.84,28144.13
535,1460,person,1062.97,364.49,35.12,123.73,1062.97,364.49,4344.96
536,1387,person,1025.35,390.42,112.26,248.01,1025.35,390.42,27839.93
536,1460,person,1066.04,364.01,35.54,125.23,1066.04,364.01,4450.5
537,1387,person,1027.74,387.36,112.41,246.94,1027.74,387.36,27757.94
537,1460,person,1067.83,363.32,35.69,125.45,1067.83,363.32,4477.79
537,1463,person,1215.14,266.39,129.73,321.41,1215.14,266.39,41695.44
538,1387,person,1028.28,385.08,112.96,246.78,1028.28,385.08,27877.37
538,1460,person,1068.25,362.25,35.96,125.9,1068.25,362.25,4526.73
538,1463,person,1215.6,264.79,128.8,321.1,1215.6,264.79,41356.88
538,1465,person,1064.8,345.86,46.28,166.88,1064.8,345.86,7722.91
539,1387,person,1028.8,383.93,114.2,248.0,1028.8,383.93,28322.29
539,1460,person,1068.47,361.12,36.17,125.93,1068.47,361.12,4555.0
539,1463,person,1216.2,264.39,127.6,321.34,1216.2,264.39,41002.96
539,1465,person,1065.01,344.08,46.45,167.34,1065.01,344.08,7772.73
540,1387,person,1028.76,383.2,114.77,247.72,1028.76,383.2,28430.16
540,1463,person,1216.29,263.67,127.42,319.72,1216.29,263.67,40736.88
540,1465,person,1066.6,345.24,43.16,155.38,1066.6,345.24,6706.53
541,1387,person,1029.13,383.58,116.84,251.13,1029.13,383.58,29341.8
541,1463,person,1216.17,265.19,127.65,320.04,1216.17,265.19,40854.44
541,1465,person,1067.2,341.89,42.44,152.63,1067.2,341.89,6478.25
541,1460,person,1069.59,356.99,34.53,119.25,1069.59,356.99,4116.99
542,1387,person,1029.69,382.94,117.54,251.28,1029.69,382.94,29535.35
542,1463,person,1216.39,265.59,127.22,320.02,1216.39,265.59,40711.88
542,1468,person,1129.59,304.55,87.34,225.84,1129.59,304.55,19725.47
543,1387,person,1030.4,382.11,117.71,250.58,1030.4,382.11,29496.3
543,1463,person,1216.63,265.68,126.74,319.17,1216.63,265.68,40452.82
543,1468,person,1130.79,304.1,90.25,233.5,1130.79,304.1,21072.66
544,1387,person,1031.18,381.23,118.19,250.71,1031.18,381.23,29630.68
544,1463,person,1217.91,265.67,124.18,311.39,1217.91,265.67,38667.71
545,1387,person,1032.72,380.72,118.33,250.07,1032.72,380.72,29590.36
545,1463,person,1218.4,265.14,123.21,310.59,1218.4,265.14,38268.25
546,1387,person,1033.96,380.64,118.77,249.67,1033.96,380.64,29654.08
546,1463,person,1218.22,265.48,123.57,312.57,1218.22,265.48,38622.38
547,1387,person,1035.46,380.76,120.08,250.64,1035.46,380.76,30096.59
