frame,object_id,class,x,y,width,height,center_x,center_y,area
176,869,person,790.66,695.88,50.16,48.23,790.66,695.88,2419.52
176,870,person,746.34,663.58,54.27,107.89,746.34,663.58,5855.57
176,858,person,710.62,323.79,105.92,176.57,710.62,323.79,18702.16
177,869,person,791.57,695.3,51.24,49.41,791.57,695.3,2531.31
177,870,person,747.24,661.99,55.39,111.54,747.24,661.99,6177.99
178,869,person,791.97,694.53,52.48,50.82,791.97,694.53,2666.99
178,870,person,747.58,660.65,55.77,113.67,747.58,660.65,6339.89
178,858,person,710.28,320.76,104.46,175.91,710.28,320.76,18375.97
179,869,person,792.93,694.32,52.64,51.33,792.93,694.32,2701.85
179,858,person,718.04,315.68,102.76,175.68,718.04,315.68,18051.86
180,869,person,793.16,694.18,52.64,51.63,793.16,694.18,2717.68
180,858,person,720.42,314.91,101.07,175.78,720.42,314.91,17766.12
181,869,person,793.68,694.03,52.75,51.94,793.68,694.03,2740.29
181,858,person,720.69,315.23,101.05,177.31,720.69,315.23,17917.39
182,869,person,793.91,693.86,52.88,52.28,793.91,693.86,2764.51
182,858,person,720.37,314.95,101.16,178.65,720.37,314.95,18071.87
